game_id,pair_id,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
59,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,485.6533,17852.7892,26.9807,991.8216,1251,4360,69.5,242.22,False
60,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,484.719,17894.9213,26.9288,994.1623,1251,4360,69.5,242.22,False
61,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,481.3905,17789.7023,26.7439,988.3168,1251,4360,69.5,242.22,False
62,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,484.1868,17818.0161,26.8993,989.8898,1251,4360,69.5,242.22,False
63,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,485.382,17832.9621,26.9657,990.7201,1251,4360,69.5,242.22,False
64,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,484.1532,17843.3277,26.8974,991.296,1251,4360,69.5,242.22,False
65,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,483.4713,17792.6218,26.8595,988.479,1251,4360,69.5,242.22,False
66,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,479.8913,17766.1033,26.6606,987.0057,1251,4360,69.5,242.22,False
67,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,479.423,17837.7363,26.6346,990.9853,1251,4360,69.5,242.22,False
68,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,483.9724,17868.082,26.8874,992.6712,1251,4360,69.5,242.22,False
69,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,482.8455,17795.0608,26.8248,988.6145,1251,4360,69.5,242.22,False
70,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,485.4861,17819.7473,26.9715,989.986,1251,4360,69.5,242.22,False
71,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,485.8962,17790.4723,26.9942,988.3596,1251,4360,69.5,242.22,False
72,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,483.394,17884.9251,26.8552,993.607,1251,4360,69.5,242.22,False
73,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,479.5419,17824.7829,26.6412,990.2657,1251,4360,69.5,242.22,False
74,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,478.9049,17875.0956,26.6058,993.0609,1251,4360,69.5,242.22,False
75,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,495.7646,17823.2382,27.5425,990.1799,1251,4360,69.5,242.22,False
76,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,481.737,17822.7733,26.7632,990.1541,1251,4360,69.5,242.22,False
77,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,477.4443,17837.7908,26.5247,990.9884,1251,4360,69.5,242.22,False
78,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,481.2594,17783.9912,26.7366,987.9995,1251,4360,69.5,242.22,False
79,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,486.2231,17918.911,27.0124,995.4951,1251,4360,69.5,242.22,False
80,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,481.6154,17851.6945,26.7564,991.7608,1251,4360,69.5,242.22,False
81,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,480.2549,17815.6623,26.6808,989.759,1251,4360,69.5,242.22,False
82,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,483.9085,17847.9419,26.8838,991.5523,1251,4360,69.5,242.22,False
83,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,488.9097,17925.6569,27.1616,995.8698,1251,4360,69.5,242.22,False
84,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,482.873,17805.0348,26.8263,989.1686,1251,4360,69.5,242.22,False
85,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,482.7791,17862.1494,26.8211,992.3416,1251,4360,69.5,242.22,False
86,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,481.0319,17837.794,26.724,990.9886,1251,4360,69.5,242.22,False
87,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,486.3917,17843.3742,27.0218,991.2986,1251,4360,69.5,242.22,False
88,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,487.4372,17915.8688,27.0798,995.326,1251,4360,69.5,242.22,False
89,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,481.4932,17861.9604,26.7496,992.3311,1251,4360,69.5,242.22,False
90,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,486.6327,17903.1003,27.0352,994.6167,1251,4360,69.5,242.22,False
91,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,482.7504,17844.9596,26.8195,991.3866,1251,4360,69.5,242.22,False
92,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,480.1981,17869.5605,26.6777,992.7534,1251,4360,69.5,242.22,False
93,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,481.1599,17857.5068,26.7311,992.0837,1251,4360,69.5,242.22,False
94,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,483.8476,17768.8764,26.8804,987.1598,1251,4360,69.5,242.22,False
95,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,484.8607,17833.9463,26.9367,990.7748,1251,4360,69.5,242.22,False
96,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,483.6998,17927.6171,26.8722,995.9787,1251,4360,69.5,242.22,False
97,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,484.797,17814.2725,26.9332,989.6818,1251,4360,69.5,242.22,False
98,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,480.3922,17856.0658,26.6885,992.0037,1251,4360,69.5,242.22,False
99,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,483.1847,17814.3454,26.8436,989.6859,1251,4360,69.5,242.22,False
100,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,486.3425,17784.3574,27.019,988.0199,1251,4360,69.5,242.22,False
