game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
72,Easy_vs_Hard,O2_length_pressure_white,Easy,Hard,white,Hard,loss,7,18.8882,1296.4423,6.2961,324.1106,161,749,53.67,187.25,False
73,Easy_vs_Hard,O3_length_pressure_mirror_black,Easy,Hard,black,Easy,win,13,69.1253,3301.9106,9.875,550.3184,461,1169,65.86,194.83,False
74,Easy_vs_Hard,O4_length_pressure_mirror_white,Easy,Hard,white,Hard,loss,7,19.9121,1309.1956,6.6374,327.2989,161,749,53.67,187.25,False
75,Easy_vs_Hard,O5_center_space_black,Easy,Hard,white,Hard,loss,26,305.5931,19130.7146,23.5072,1471.5934,1174,4125,90.31,317.31,False
76,Easy_vs_Hard,O1_length_pressure_black,Hard,Easy,black,Hard,win,7,1326.8957,19.5373,331.7239,6.5124,749,161,187.25,53.67,False
77,Easy_vs_Hard,O2_length_pressure_white,Hard,Easy,white,Easy,loss,13,3445.766,70.7718,574.2943,10.1103,1169,461,194.83,65.86,False
78,Easy_vs_Hard,O3_length_pressure_mirror_black,Hard,Easy,black,Hard,win,7,1435.9095,19.9915,358.9774,6.6638,749,161,187.25,53.67,False
79,Easy_vs_Hard,O4_length_pressure_mirror_white,Hard,Easy,white,Easy,loss,13,3484.3811,73.7321,580.7302,10.5332,1169,461,194.83,65.86,False
80,Easy_vs_Hard,O5_center_space_black,Hard,Easy,black,Hard,win,31,28572.6985,332.2524,1785.7937,22.1502,5536,1403,346.0,93.53,False
81,Easy_vs_Hard,O6_center_space_white,Hard,Easy,black,Hard,win,26,19059.9621,242.8572,1466.1509,18.6813,4125,1174,317.31,90.31,False
82,Easy_vs_Hard,O7_complex_midgame_black,Hard,Easy,black,Hard,win,3,677.4515,6.753,338.7257,6.753,271,54,135.5,54.0,False
83,Easy_vs_Hard,O8_complex_midgame_white,Hard,Easy,white,Easy,loss,3,313.3377,13.1872,313.3377,6.5936,160,108,160.0,54.0,False
84,Easy_vs_Hard,O9_complex_midgame_mirror_black,Hard,Easy,black,Hard,win,3,677.6316,6.6703,338.8158,6.6703,271,54,135.5,54.0,False
85,Easy_vs_Hard,O10_complex_midgame_mirror_white,Hard,Easy,white,Easy,loss,3,324.803,12.9421,324.803,6.4711,160,108,160.0,54.0,False
86,Easy_vs_Hard,O1_length_pressure_black,Hard,Easy,black,Hard,win,7,1327.8873,18.9901,331.9718,6.33,749,161,187.25,53.67,False
87,Easy_vs_Hard,O2_length_pressure_white,Hard,Easy,white,Easy,loss,13,3644.6935,70.1916,607.4489,10.0274,1169,461,194.83,65.86,False
88,Easy_vs_Hard,O3_length_pressure_mirror_black,Hard,Easy,black,Hard,win,7,1295.1314,19.0938,323.7829,6.3646,749,161,187.25,53.67,False
89,Easy_vs_Hard,O4_length_pressure_mirror_white,Hard,Easy,white,Easy,loss,13,3271.689,68.9382,545.2815,9.8483,1169,461,194.83,65.86,False
90,Easy_vs_Hard,O5_center_space_black,Hard,Easy,black,Hard,win,31,28204.153,332.3855,1762.7596,22.159,5536,1403,346.0,93.53,False
91,Easy_vs_Hard,O6_center_space_white,Hard,Easy,black,Hard,win,26,18622.1424,242.7056,1432.4725,18.6697,4125,1174,317.31,90.31,False
92,Easy_vs_Hard,O7_complex_midgame_black,Hard,Easy,black,Hard,win,3,681.4516,6.5753,340.7258,6.5753,271,54,135.5,54.0,False
93,Easy_vs_Hard,O8_complex_midgame_white,Hard,Easy,white,Easy,loss,3,313.3682,12.989,313.3682,6.4945,160,108,160.0,54.0,False
94,Easy_vs_Hard,O9_complex_midgame_mirror_black,Hard,Easy,black,Hard,win,3,670.6719,6.6203,335.3359,6.6203,271,54,135.5,54.0,False
95,Easy_vs_Hard,O10_complex_midgame_mirror_white,Hard,Easy,white,Easy,loss,3,311.3197,13.0346,311.3197,6.5173,160,108,160.0,54.0,False
