game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
105,Medium_vs_Hard,O5_offset_tension_mirror_variant_black,Medium,Hard,white,Hard,loss,16,18267.4135,42795.4506,2283.4267,5349.4313,3703,60092,462.88,7511.5,False
106,Medium_vs_Hard,O6_diagonal_balance_variant_white,Medium,Hard,white,Hard,loss,3,1157.2451,1950.7516,1157.2451,975.3758,318,4224,318.0,2112.0,False
107,Medium_vs_Hard,O7_offset_tension_mirror_black,Medium,Hard,black,Medium,win,11,9665.6343,11185.2678,1610.9391,2237.0536,2246,15072,374.33,3014.4,False
108,Medium_vs_Hard,O8_diagonal_balance_mirror_white,Medium,Hard,black,Medium,win,6,2856.0752,4245.082,952.0251,1415.0273,836,7843,278.67,2614.33,False
109,Medium_vs_Hard,O9_central_cross_variant_black,Medium,Hard,white,Hard,loss,14,11700.6503,16788.311,1671.5215,2398.3301,2551,26146,364.43,3735.14,False
110,Medium_vs_Hard,O10_diagonal_balance_white,Medium,Hard,black,Medium,win,6,2786.8006,4158.8489,928.9335,1386.283,836,7843,278.67,2614.33,False
111,Medium_vs_Hard,O1_central_cross_black,Medium,Hard,black,Medium,win,11,7389.4658,7913.6866,1231.5776,1582.7373,1928,11788,321.33,2357.6,False
112,Medium_vs_Hard,O2_central_cross_variant_white,Medium,Hard,white,Hard,loss,15,12123.3707,22021.0848,1731.9101,2752.6356,2651,34857,378.71,4357.12,False
113,Medium_vs_Hard,O3_wide_center_variant_black,Medium,Hard,black,Medium,win,3,2403.8299,965.7036,1201.915,965.7036,555,278,277.5,278.0,False
114,Medium_vs_Hard,O4_wide_center_white,Medium,Hard,black,Medium,win,12,9001.5683,11697.5932,1500.2614,1949.5989,2228,24099,371.33,4016.5,False
115,Medium_vs_Hard,O5_offset_tension_mirror_variant_black,Medium,Hard,white,Hard,loss,16,18222.3107,42816.9235,2277.7888,5352.1154,3703,60092,462.88,7511.5,False
116,Medium_vs_Hard,O6_diagonal_balance_variant_white,Medium,Hard,white,Hard,loss,3,1109.6095,1807.1517,1109.6095,903.5759,318,4224,318.0,2112.0,False
117,Medium_vs_Hard,O7_offset_tension_mirror_black,Medium,Hard,black,Medium,win,11,9594.296,11091.9909,1599.0493,2218.3982,2246,15072,374.33,3014.4,False
118,Medium_vs_Hard,O8_diagonal_balance_mirror_white,Medium,Hard,black,Medium,win,6,2852.7719,4094.7688,950.924,1364.9229,836,7843,278.67,2614.33,False
119,Medium_vs_Hard,O9_central_cross_variant_black,Medium,Hard,white,Hard,loss,14,11723.1082,16913.58,1674.7297,2416.2257,2551,26146,364.43,3735.14,False
120,Medium_vs_Hard,O10_diagonal_balance_white,Medium,Hard,black,Medium,win,6,2793.3127,4116.8508,931.1042,1372.2836,836,7843,278.67,2614.33,False
121,Medium_vs_Hard,O1_central_cross_black,Medium,Hard,black,Medium,win,11,7447.4098,7882.6221,1241.235,1576.5244,1928,11788,321.33,2357.6,False
122,Medium_vs_Hard,O2_central_cross_variant_white,Medium,Hard,white,Hard,loss,15,11925.4082,22351.8362,1703.6297,2793.9795,2651,34857,378.71,4357.12,False
123,Medium_vs_Hard,O3_wide_center_variant_black,Medium,Hard,black,Medium,win,3,2489.3657,969.669,1244.6828,969.669,555,278,277.5,278.0,False
124,Medium_vs_Hard,O4_wide_center_white,Medium,Hard,black,Medium,win,12,9141.2092,11769.8802,1523.5349,1961.6467,2228,24099,371.33,4016.5,False
125,Medium_vs_Hard,O5_offset_tension_mirror_variant_black,Medium,Hard,white,Hard,loss,16,18505.989,43354.6458,2313.2486,5419.3307,3703,60092,462.88,7511.5,False
