game_id,pair_id,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
79,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8436.2454,220.9759,648.942,18.4147,2875,790,221.15,65.83,False
80,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8538.4425,223.1265,656.8033,18.5939,2875,790,221.15,65.83,False
81,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8478.1726,219.5953,652.1671,18.2996,2875,790,221.15,65.83,False
82,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8537.617,223.516,656.7398,18.6263,2875,790,221.15,65.83,False
83,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8726.7284,222.4917,671.2868,18.541,2875,790,221.15,65.83,False
84,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8767.3691,221.92,674.413,18.4933,2875,790,221.15,65.83,False
85,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8721.4063,220.375,670.8774,18.3646,2875,790,221.15,65.83,False
86,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8882.4166,221.883,683.2628,18.4903,2875,790,221.15,65.83,False
87,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,9168.4437,228.1135,705.2649,19.0095,2875,790,221.15,65.83,False
88,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,9238.9828,226.1921,710.691,18.8493,2875,790,221.15,65.83,False
89,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,9193.6273,224.4226,707.2021,18.7019,2875,790,221.15,65.83,False
90,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,9126.649,230.2038,702.0499,19.1837,2875,790,221.15,65.83,False
91,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8454.5153,220.632,650.3473,18.386,2875,790,221.15,65.83,False
92,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8499.9544,221.3104,653.8426,18.4425,2875,790,221.15,65.83,False
93,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8556.4188,222.1836,658.1861,18.5153,2875,790,221.15,65.83,False
94,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8555.7891,224.4103,658.1376,18.7009,2875,790,221.15,65.83,False
95,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8600.7484,226.2479,661.596,18.854,2875,790,221.15,65.83,False
96,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8569.8161,221.2079,659.2166,18.434,2875,790,221.15,65.83,False
97,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8616.1759,222.3223,662.7828,18.5269,2875,790,221.15,65.83,False
98,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8586.7357,222.8797,660.5181,18.5733,2875,790,221.15,65.83,False
99,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8677.37,221.3015,667.49,18.4418,2875,790,221.15,65.83,False
100,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8680.5557,220.4205,667.7351,18.3684,2875,790,221.15,65.83,False
101,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,39083.0231,9262.322,2791.6445,661.5944,45317,3004,3236.93,214.57,False
102,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38904.8992,9537.8058,2778.9214,681.2718,45317,3004,3236.93,214.57,False
