game_id,pair_id,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,black_was_first,max_moves_reached
42,A1_vs_B3,A1,B3,white,B3,loss,20,857.5121,130094.0703,85.7512,13009.407,526,35727,52.6,3572.7,True,False
43,A1_vs_B3,A1,B3,white,B3,loss,20,857.5121,130094.0703,85.7512,13009.407,526,35727,52.6,3572.7,True,False
44,A1_vs_B3,A1,B3,white,B3,loss,20,857.5121,130094.0703,85.7512,13009.407,526,35727,52.6,3572.7,True,False
45,A1_vs_B3,A1,B3,white,B3,loss,20,857.5121,130094.0703,85.7512,13009.407,526,35727,52.6,3572.7,True,False
46,A1_vs_B3,B3,A1,white,A1,loss,16,48122.0277,483.3001,6015.2535,60.4125,17159,360,2144.88,45.0,True,False
47,A1_vs_B3,B3,A1,white,A1,loss,16,48122.0277,483.3001,6015.2535,60.4125,17159,360,2144.88,45.0,True,False
48,A1_vs_B3,B3,A1,white,A1,loss,16,48122.0277,483.3001,6015.2535,60.4125,17159,360,2144.88,45.0,True,False
49,A1_vs_B3,B3,A1,white,A1,loss,16,48122.0277,483.3001,6015.2535,60.4125,17159,360,2144.88,45.0,True,False
50,A1_vs_B3,B3,A1,white,A1,loss,16,48122.0277,483.3001,6015.2535,60.4125,17159,360,2144.88,45.0,True,False
51,B1_vs_A2,B1,A2,white,A2,loss,42,4327.1963,354088.7291,206.057,16861.3681,1740,6279,82.86,299.0,True,False
52,B1_vs_A2,B1,A2,white,A2,loss,42,4327.1963,354088.7291,206.057,16861.3681,1740,6279,82.86,299.0,True,False
53,B1_vs_A2,B1,A2,white,A2,loss,42,4327.1963,354088.7291,206.057,16861.3681,1740,6279,82.86,299.0,True,False
54,B1_vs_A2,B1,A2,white,A2,loss,42,4327.1963,354088.7291,206.057,16861.3681,1740,6279,82.86,299.0,True,False
55,B1_vs_A2,B1,A2,white,A2,loss,42,4327.1963,354088.7291,206.057,16861.3681,1740,6279,82.86,299.0,True,False
56,B1_vs_A2,A2,B1,black,A2,win,21,43644.9792,642.3857,3967.7254,64.2386,1855,573,168.64,57.3,True,False
57,B1_vs_A2,A2,B1,black,A2,win,21,43644.9792,642.3857,3967.7254,64.2386,1855,573,168.64,57.3,True,False
58,B1_vs_A2,A2,B1,black,A2,win,21,43644.9792,642.3857,3967.7254,64.2386,1855,573,168.64,57.3,True,False
59,B1_vs_A2,A2,B1,black,A2,win,21,43644.9792,642.3857,3967.7254,64.2386,1855,573,168.64,57.3,True,False
60,B1_vs_A2,A2,B1,black,A2,win,21,43644.9792,642.3857,3967.7254,64.2386,1855,573,168.64,57.3,True,False
61,B1_vs_B2,B1,B2,white,B2,loss,12,168.6689,6799.5838,28.1115,1133.264,219,753,36.5,125.5,True,False
62,B1_vs_B2,B1,B2,white,B2,loss,12,168.6689,6799.5838,28.1115,1133.264,219,753,36.5,125.5,True,False
63,B1_vs_B2,B1,B2,white,B2,loss,12,168.6689,6799.5838,28.1115,1133.264,219,753,36.5,125.5,True,False
64,B1_vs_B2,B1,B2,white,B2,loss,12,168.6689,6799.5838,28.1115,1133.264,219,753,36.5,125.5,True,False
65,B1_vs_B2,B1,B2,white,B2,loss,12,168.6689,6799.5838,28.1115,1133.264,219,753,36.5,125.5,True,False
66,B1_vs_B2,B2,B1,black,B2,win,9,3492.7239,79.595,698.5448,19.8987,504,152,100.8,38.0,True,False
67,B1_vs_B2,B2,B1,black,B2,win,9,3492.7239,79.595,698.5448,19.8987,504,152,100.8,38.0,True,False
68,B1_vs_B2,B2,B1,black,B2,win,9,3492.7239,79.595,698.5448,19.8987,504,152,100.8,38.0,True,False
69,B1_vs_B2,B2,B1,black,B2,win,9,3492.7239,79.595,698.5448,19.8987,504,152,100.8,38.0,True,False
70,B1_vs_B2,B2,B1,black,B2,win,9,3492.7239,79.595,698.5448,19.8987,504,152,100.8,38.0,True,False
71,B1_vs_A3,B1,A3,white,A3,loss,12,166.0152,27323.0561,27.6692,4553.8427,219,11590,36.5,1931.67,True,False
72,B1_vs_A3,B1,A3,white,A3,loss,12,166.0152,27323.0561,27.6692,4553.8427,219,11590,36.5,1931.67,True,False
73,B1_vs_A3,B1,A3,white,A3,loss,12,166.0152,27323.0561,27.6692,4553.8427,219,11590,36.5,1931.67,True,False
74,B1_vs_A3,B1,A3,white,A3,loss,12,166.0152,27323.0561,27.6692,4553.8427,219,11590,36.5,1931.67,True,False
75,B1_vs_A3,B1,A3,white,A3,loss,12,166.0152,27323.0561,27.6692,4553.8427,219,11590,36.5,1931.67,True,False
76,B1_vs_A3,A3,B1,black,A3,win,9,14670.1538,82.4835,2934.0308,20.6209,6570,152,1314.0,38.0,True,False
77,B1_vs_A3,A3,B1,black,A3,win,9,14670.1538,82.4835,2934.0308,20.6209,6570,152,1314.0,38.0,True,False
78,B1_vs_A3,A3,B1,black,A3,win,9,14670.1538,82.4835,2934.0308,20.6209,6570,152,1314.0,38.0,True,False
79,B1_vs_A3,A3,B1,black,A3,win,9,14670.1538,82.4835,2934.0308,20.6209,6570,152,1314.0,38.0,True,False
80,B1_vs_A3,A3,B1,black,A3,win,9,14670.1538,82.4835,2934.0308,20.6209,6570,152,1314.0,38.0,True,False
81,B1_vs_B3,B1,B3,white,B3,loss,20,606.7346,127647.4739,60.6735,12764.7474,526,35727,52.6,3572.7,True,False
82,B1_vs_B3,B1,B3,white,B3,loss,20,606.7346,127647.4739,60.6735,12764.7474,526,35727,52.6,3572.7,True,False
83,B1_vs_B3,B1,B3,white,B3,loss,20,606.7346,127647.4739,60.6735,12764.7474,526,35727,52.6,3572.7,True,False
84,B1_vs_B3,B1,B3,white,B3,loss,20,606.7346,127647.4739,60.6735,12764.7474,526,35727,52.6,3572.7,True,False
85,B1_vs_B3,B1,B3,white,B3,loss,20,606.7346,127647.4739,60.6735,12764.7474,526,35727,52.6,3572.7,True,False
86,B1_vs_B3,B3,B1,black,B3,win,9,10328.3139,82.6847,2065.6628,20.6712,6641,152,1328.2,38.0,True,False
87,B1_vs_B3,B3,B1,black,B3,win,9,10328.3139,82.6847,2065.6628,20.6712,6641,152,1328.2,38.0,True,False
88,B1_vs_B3,B3,B1,black,B3,win,9,10328.3139,82.6847,2065.6628,20.6712,6641,152,1328.2,38.0,True,False
89,B1_vs_B3,B3,B1,black,B3,win,9,10328.3139,82.6847,2065.6628,20.6712,6641,152,1328.2,38.0,True,False
90,B1_vs_B3,B3,B1,black,B3,win,9,10328.3139,82.6847,2065.6628,20.6712,6641,152,1328.2,38.0,True,False
91,A2_vs_B2,A2,B2,white,B2,loss,40,194003.0199,153352.7699,9700.151,7667.6385,4283,4756,214.15,237.8,True,False
92,A2_vs_B2,A2,B2,white,B2,loss,40,194003.0199,153352.7699,9700.151,7667.6385,4283,4756,214.15,237.8,True,False
93,A2_vs_B2,A2,B2,white,B2,loss,40,194003.0199,153352.7699,9700.151,7667.6385,4283,4756,214.15,237.8,True,False
94,A2_vs_B2,A2,B2,white,B2,loss,40,194003.0199,153352.7699,9700.151,7667.6385,4283,4756,214.15,237.8,True,False
95,A2_vs_B2,A2,B2,white,B2,loss,40,194003.0199,153352.7699,9700.151,7667.6385,4283,4756,214.15,237.8,True,False
96,A2_vs_B2,B2,A2,draw,,draw,50,234168.913,331924.0766,9366.7565,13276.9631,7321,6066,292.84,242.64,True,True
97,A2_vs_B2,B2,A2,draw,,draw,50,234168.913,331924.0766,9366.7565,13276.9631,7321,6066,292.84,242.64,True,True
98,A2_vs_B2,B2,A2,draw,,draw,50,234168.913,331924.0766,9366.7565,13276.9631,7321,6066,292.84,242.64,True,True
99,A2_vs_B2,B2,A2,draw,,draw,50,234168.913,331924.0766,9366.7565,13276.9631,7321,6066,292.84,242.64,True,True
100,A2_vs_B2,B2,A2,draw,,draw,50,234168.913,331924.0766,9366.7565,13276.9631,7321,6066,292.84,242.64,True,True
101,A2_vs_A3,A2,A3,draw,,draw,50,437943.3466,1924591.9774,17517.7339,76983.6791,6258,171054,250.32,6842.16,True,True
102,A2_vs_A3,A2,A3,draw,,draw,50,437943.3466,1924591.9774,17517.7339,76983.6791,6258,171054,250.32,6842.16,True,True
103,A2_vs_A3,A2,A3,draw,,draw,50,437943.3466,1924591.9774,17517.7339,76983.6791,6258,171054,250.32,6842.16,True,True
104,A2_vs_A3,A2,A3,draw,,draw,50,437943.3466,1924591.9774,17517.7339,76983.6791,6258,171054,250.32,6842.16,True,True
105,A2_vs_A3,A2,A3,draw,,draw,50,437943.3466,1924591.9774,17517.7339,76983.6791,6258,171054,250.32,6842.16,True,True
106,A2_vs_A3,A3,A2,black,A3,win,31,383899.8623,83014.7923,23993.7414,5534.3195,61490,2863,3843.12,190.87,True,False
107,A2_vs_A3,A3,A2,black,A3,win,31,383899.8623,83014.7923,23993.7414,5534.3195,61490,2863,3843.12,190.87,True,False
108,A2_vs_A3,A3,A2,black,A3,win,31,383899.8623,83014.7923,23993.7414,5534.3195,61490,2863,3843.12,190.87,True,False
109,A2_vs_A3,A3,A2,black,A3,win,31,383899.8623,83014.7923,23993.7414,5534.3195,61490,2863,3843.12,190.87,True,False
110,A2_vs_A3,A3,A2,black,A3,win,31,383899.8623,83014.7923,23993.7414,5534.3195,61490,2863,3843.12,190.87,True,False
111,A2_vs_B3,A2,B3,white,B3,loss,30,96734.7946,337330.2236,6448.9863,22488.6816,3006,69991,200.4,4666.07,True,False
112,A2_vs_B3,A2,B3,white,B3,loss,30,96734.7946,337330.2236,6448.9863,22488.6816,3006,69991,200.4,4666.07,True,False
113,A2_vs_B3,A2,B3,white,B3,loss,30,96734.7946,337330.2236,6448.9863,22488.6816,3006,69991,200.4,4666.07,True,False
114,A2_vs_B3,A2,B3,white,B3,loss,30,96734.7946,337330.2236,6448.9863,22488.6816,3006,69991,200.4,4666.07,True,False
115,A2_vs_B3,A2,B3,white,B3,loss,30,96734.7946,337330.2236,6448.9863,22488.6816,3006,69991,200.4,4666.07,True,False
116,A2_vs_B3,B3,A2,black,B3,win,23,136428.9214,35436.2968,11369.0768,3221.4815,36214,1734,3017.83,157.64,True,False
117,A2_vs_B3,B3,A2,black,B3,win,23,136428.9214,35436.2968,11369.0768,3221.4815,36214,1734,3017.83,157.64,True,False
118,A2_vs_B3,B3,A2,black,B3,win,23,136428.9214,35436.2968,11369.0768,3221.4815,36214,1734,3017.83,157.64,True,False
119,A2_vs_B3,B3,A2,black,B3,win,23,136428.9214,35436.2968,11369.0768,3221.4815,36214,1734,3017.83,157.64,True,False
120,A2_vs_B3,B3,A2,black,B3,win,23,136428.9214,35436.2968,11369.0768,3221.4815,36214,1734,3017.83,157.64,True,False
121,B2_vs_A3,B2,A3,black,B2,win,47,251698.8649,1139185.4262,10487.4527,49529.8011,6464,102867,269.33,4472.48,True,False
122,B2_vs_A3,B2,A3,black,B2,win,47,251698.8649,1139185.4262,10487.4527,49529.8011,6464,102867,269.33,4472.48,True,False
123,B2_vs_A3,B2,A3,black,B2,win,47,251698.8649,1139185.4262,10487.4527,49529.8011,6464,102867,269.33,4472.48,True,False
124,B2_vs_A3,B2,A3,black,B2,win,47,251698.8649,1139185.4262,10487.4527,49529.8011,6464,102867,269.33,4472.48,True,False
125,B2_vs_A3,B2,A3,black,B2,win,47,251698.8649,1139185.4262,10487.4527,49529.8011,6464,102867,269.33,4472.48,True,False
126,B2_vs_A3,A3,B2,draw,,draw,50,1551399.0012,337689.7478,62055.96,13507.5899,135115,7451,5404.6,298.04,True,True
127,B2_vs_A3,A3,B2,draw,,draw,50,1551399.0012,337689.7478,62055.96,13507.5899,135115,7451,5404.6,298.04,True,True
128,B2_vs_A3,A3,B2,draw,,draw,50,1551399.0012,337689.7478,62055.96,13507.5899,135115,7451,5404.6,298.04,True,True
